,url,price,location,amenities
0,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.4299000 ,Puraniks Unicorn Phase 1,"['Possession by Nov 2026', 'New ']"
1,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.11900000 ,Dynamix Parkwoods ,"['Possession by Nov 2027', 'New ']"
2,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.8200000 ,Risland Risland The Icon,"['Possession by Nov 2025', 'New ']"
3,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.14600000 ,Kalpataru Paramount,"['Possession by May 2025', 'New ']"
4,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.12600235 ,,"['Possession by Feb 2025', '2 Bathrooms', 'New ']"
5,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.4299000 ,Puraniks Unicorn Phase 1,"['Possession by Nov 2026', 'New ']"
6,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.11900000 ,Dynamix Parkwoods ,"['Possession by Nov 2027', 'New ']"
7,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.12400000 ,Risland Risland The Icon,"['Possession by Nov 2025', 'New ']"
8,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.14600000 ,Kalpataru Paramount,"['Possession by May 2025', 'New ']"
9,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.17499560 ,,"['Possession by Feb 2025', '3 Bathrooms', 'New ']"
10,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.10305120 ,Puraniks Rumah Bali,"['6 - 7 years old', 'New ']"
11,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.12300000 ,Risland Risland The Icon,"['Possession by Nov 2025', 'New ']"
12,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.14600000 ,Kalpataru Paramount,"['Possession by May 2025', 'New ']"
13,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.14099900 ,,"['Possession by Feb 2025', 'New ']"
14,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.4141000 ,Ace Enclave,"['Possession by Dec 2026', '1 Bathrooms', 'Resale ']"
15,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.5800000 ,,"['1 Bathrooms', 'Resale ', 'SouthWest facing']"
16,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.15500000 ,Regency Regency Heights,"['9 - 10 years old', '2 Bathrooms', 'Resale ']"
17,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.2150000 ,Reputed Builder Vrindavan Society,"['15 - 16 years old', '2 Bathrooms', 'Resale ']"
18,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.1800000 ,,"['1 Bathrooms', 'Resale ']"
19,https://www.makaan.com/mumbai-property/thane-west-flats-for-sale-50063,Rs.7560000 ,,"['1 Bathrooms', 'Resale ']"
20,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.9411000 ,Origin Oriana,"['Possession by Nov 2024', 'New ']"
21,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.9411000 ,Origin Oriana,"['Possession by Nov 2024', 'New ']"
22,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.6965000 ,Origin Oriana,"['Possession by Nov 2024', 'New ']"
23,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.12000000 ,ANA Avant Garde Phase 1,"['4 - 5 years old', '2 Bathrooms', 'Resale ']"
24,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.11600000 ,Unique Aurum,"['10 - 11 years old', '2 Bathrooms', 'Resale ']"
25,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.7700000 ,JP Atria,"['2 - 3 years old', '2 Bathrooms', 'Resale ']"
26,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.4000000 ,,"['2 Bathrooms', 'Resale ', 'NorthEast facing']"
27,https://www.makaan.com/mumbai-property/mira-road-east-flats-for-sale-51735,Rs.11000000 ,Raj Mandir Complex,"['11 years old', '2 Bathrooms', 'Resale ']"
