,url,price,location,amenities
0,https://www.redfin.com/city/513/NM/Albuquerque,"$300,000","1224 Muriel St NE, Albuquerque, NM 87112","['3 beds', '2 baths', '1,225 sq ft']"
1,https://www.redfin.com/city/513/NM/Albuquerque,"$280,000","10304 Paseo Del Norte NW, Albuquerque, NM 87114","['3 beds', '1.5 baths', '1,301 sq ft']"
2,https://www.redfin.com/city/513/NM/Albuquerque,"$274,500","11237 Campo Del Sol Ave, Albuquerque, NM 87123","['3 beds', '2.5 baths', '1,715 sq ft']"
3,https://www.redfin.com/city/513/NM/Albuquerque,"$190,000","5203 Trumbull Ave SE, Albuquerque, NM 87108","['2 beds', '1 bath', '1,550 sq ft']"
4,https://www.redfin.com/city/513/NM/Albuquerque,"$205,000","19 Lakeshore Dr NE, Albuquerque, NM 87112","['2 beds', '3 baths', '1,859 sq ft']"
5,https://www.redfin.com/city/513/NM/Albuquerque,"$379,900","13417 Mountain View Ave NE, Albuquerque, NM 87123","['4 beds', '2 baths', '2,020 sq ft']"
6,https://www.redfin.com/city/513/NM/Albuquerque,"$334,995","4019 La Sombra Rd SW, Albuquerque, NM 87105","['3 beds', '2 baths', '1,587 sq ft']"
7,https://www.redfin.com/city/513/NM/Albuquerque,"$424,000","5300 Beebe St NE, Albuquerque, NM 87111","['4 beds', '2 baths', '1,964 sq ft']"
8,https://www.redfin.com/city/513/NM/Albuquerque,"$415,000","4515 Pedroncelli Ct NW, Albuquerque, NM 87107","['3 beds', '2 baths', '1,482 sq ft']"
9,https://www.redfin.com/city/513/NM/Albuquerque,"$270,000","6623 Mesa View Rd SW, Albuquerque, NM 87121","['4 beds', '2 baths', '1,662 sq ft']"
10,https://www.redfin.com/city/513/NM/Albuquerque,"$229,900","1511 Larkin Ln SW, Albuquerque, NM 87105","['3 beds', '2.5 baths', '1,570 sq ft']"
11,https://www.redfin.com/city/513/NM/Albuquerque,"$395,000","10480 Chandler Dr NW, Albuquerque, NM 87114","['3 beds', '2 baths', '1,924 sq ft']"
12,https://www.redfin.com/city/513/NM/Albuquerque,"$315,000","10536 Montgomery Blvd NE, Albuquerque, NM 87111","['2 beds', '2.5 baths', '1,563 sq ft']"
13,https://www.redfin.com/city/513/NM/Albuquerque,"$240,000","544 Dorado Pl SE, Albuquerque, NM 87123","['3 beds', '2 baths', '1,513 sq ft']"
14,https://www.redfin.com/city/513/NM/Albuquerque,"$330,000","316 Alamo Ave SE, Albuquerque, NM 87102","['4 beds', '2 baths', '1,400 sq ft']"
15,https://www.redfin.com/city/513/NM/Albuquerque,"$272,000","10412 Woodland Ave NE, Albuquerque, NM 87112","['3 beds', '2 baths', '1,120 sq ft']"
16,https://www.redfin.com/city/513/NM/Albuquerque,"$650,000","1608 San Cristobal Rd SW, Albuquerque, NM 87104","['2 beds', '2 baths', '3,572 sq ft']"
17,https://www.redfin.com/city/513/NM/Albuquerque,"$349,999","7309 Union St NE, Albuquerque, NM 87109","['3 beds', '2 baths', '1,357 sq ft']"
18,https://www.redfin.com/city/513/NM/Albuquerque,"$292,000","10627 Buck Island Rd SW, Albuquerque, NM 87121","['3 beds', '2.5 baths', '1,805 sq ft']"
19,https://www.redfin.com/city/513/NM/Albuquerque,"$185,000","1121 Chelwood Park Blvd NE #1, Albuquerque, NM 87112","['2 beds', '1.5 baths', '1,103 sq ft']"
20,https://www.redfin.com/city/513/NM/Albuquerque,"$670,000","8501 Northridge Ave NE, Albuquerque, NM 87111","['5 beds', '3 baths', '3,302 sq ft']"
21,https://www.redfin.com/city/513/NM/Albuquerque,"$250,000","1617 Cliffside Dr NW, Albuquerque, NM 87105","['2 beds', '2 baths', '1,190 sq ft']"
